avaliacao_id,usuario_id,filme_id,nota,data_avaliacao,assistiu_completo
1,1,1,5,2023-01-10,S
2,1,4,4,2023-02-14,S
3,1,7,5,2023-08-22,S
4,2,2,5,2022-11-05,S
5,2,6,4,2023-03-18,S
6,3,10,5,2023-05-07,S
7,3,13,4,2023-06-30,N
8,4,3,5,2021-02-20,S
9,4,17,5,2021-03-15,S
10,4,11,4,2021-04-10,S
11,5,5,3,2022-09-01,S
12,5,8,4,2022-10-12,S
13,6,14,5,2022-01-25,S
14,6,19,3,2022-02-28,N
15,7,20,5,2023-07-04,S
16,7,12,4,2023-07-20,S
17,8,15,2,2023-01-30,N
18,8,16,4,2023-02-05,S
19,9,18,5,2022-04-14,S
20,9,1,4,2022-05-20,S
21,10,2,5,2021-06-11,S
22,10,7,4,2021-07-08,S
23,11,4,3,2023-03-22,N
24,11,9,4,2023-04-15,S
25,12,6,5,2022-07-19,S
26,12,10,4,2022-08-25,S
27,13,3,5,2022-02-10,S
28,13,13,5,2022-03-30,S
29,14,1,4,2023-05-15,S
30,14,20,5,2023-06-18,S
31,15,5,4,2022-03-05,S
32,15,12,3,2022-04-10,N
33,1,14,5,2023-09-01,S
34,2,18,4,2023-10-05,S
35,3,4,3,2023-11-12,N
